title,prices,link
Yenidir. Geyinilməyib. Xaricdən gətirilib,70 AZN,lalafo.az/baku/ads/yenidir-geyinilmyib-xaricdn-gtirilib-id-80447046
Tecili satilir Redmi 9 real aliciya endirim olacaq 2 ayin telefonudu,200 AZN,lalafo.az/baku/ads/tecili-satilir-redmi-9-real-aliciya-endirim-olacaq-2-ayin-telefonudu-id-80118920
Nörf tapanca yumuşaq gülleli zerersiz,35 AZN,lalafo.az/baku/ads/norf-tapanca-yumusaq-gulleli-zerersiz-id-80468078
Asus Vivobook F512D CPU - AMD ryzen 3500u clock speed 2.1- 4.2Gh / 8,920 AZN,lalafo.az/baku/ads/asus-vivobook-f512d-cpu-amd-ryzen-3500u-clock-speed-21-42gh-8-id-80367375
"Satılır Ev 4 kv. m, 7 otaqlı",215 000 AZN,lalafo.az/baku/ads/satilir-ev-4-kv-m-7-otaqli-id-49302510
İşlənmiş Samsung Galaxy J3 2016 16 GB ağ,125 AZN,lalafo.az/baku/ads/islnmis-samsung-galaxy-j3-2016-16-gb-ag-id-80477722
İşlənmiş Samsung Galaxy Core 2 8 GB qızılı,80 AZN,lalafo.az/shamkir/ads/islnmis-samsung-galaxy-core-2-8-gb-qizili-id-80484393
İşlənmiş Samsung Galaxy J2 Pro 2018 16 GB qızılı,140 AZN,lalafo.az/masazyr/ads/islnmis-samsung-galaxy-j2-pro-2018-16-gb-qizili-id-80465815
İşlənmiş Samsung Galaxy Grand Dual Sim 8 GB qızılı,35 AZN,lalafo.az/baku/ads/islnmis-samsung-galaxy-grand-dual-sim-8-gb-qizili-id-80450326
Marketoloq. İstənilən yaş. Natamam iş günü,500 AZN,lalafo.az/ordubad/ads/marketoloq-istniln-yas-natamam-is-gunu-parambakudistrict-parambishkekdistrict-id-80679434
İşlənmiş Samsung Galaxy J3 2017,110 AZN,lalafo.az/mingyachevir/ads/islnmis-samsung-galaxy-j3-2017-parammemorycapacity1-paramcolor-id-80467250
Vintilyator.tezedi.tecili pul lazimdi satilir.5 perlidi.salafandadi,40 AZN,lalafo.az/kobu/ads/vintilyatortezeditecili-pul-lazimdi-satilir5-perlidisalafandadi-id-73019804
GRAND GT-I9082 SATILIR.Problemi yoxdur.Isdiyen elaqe saxliya,95 AZN,lalafo.az/mingyachevir/ads/grand-gt-i9082-satilirproblemi-yoxdurisdiyen-elaqe-saxliya-id-80514772
Samsung,150 AZN,lalafo.az/akhsu/ads/samsung-id-80474459
